ID,Center Name,ServeLesbian,ServeGay,ServeBisexual,ServeTransgender,GeoCoverage,WebPresence,WebAddress,NGOStatus,InOperation,SiteType,OrgType,PhisicalSpace,SpaceType,Street Address,City,State,Zip,SHServices,HealthScreenings,CTServices,SupportServices,BlackSpecific,LatinoSpecific,APISpecific,MaleSpecific,FemaleSpecific,GenerationSpecific,Source,CommunityCenter,CommHealthCenter,,,,,,
064,Stonewall Alliance of Chico,1,1,1,1,2,1,http://www.stonewallchico.org/,1,1,1,0,1,1,358 East 6th Street,Chico,California,95927,0,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,
065,SunServe,1,1,1,1,2,1,http://www.sunserve.org/,1,1,1,0,1,1,3212 Wilton Drive,Wilton Manors,Florida,33305,0,0,1,1,0,0,0,0,0,0,1,1,1,,,,,,
066,The [LGBTQ] Center of the Finger Lakes,1,1,1,1,2,1,http://thecenterfl.wix.com/lgbtq,0,1,1,0,1,1,671 South Exchange Street,Geneva,New York,14456,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
067,The Alliance for GLBTQ Youth,1,1,1,1,2,1,http://www.glbtqalliance.com/,1,1,1,0,1,1,1175 Northeast 125th Street,North Miami,Florida,33161,0,0,1,0,0,0,0,0,0,1,1,1,1,,,,,,
068,The Attic Youth Center,1,1,1,1,2,1,https://www.atticyouthcenter.org/,1,1,1,0,1,1,255 South 16th Street,Philadelphia,Pennsylvania,19102,1,0,1,1,0,0,0,0,0,1,1,1,1,,,,,,
069,"The Family Tree Community Center, Inc.",1,1,1,1,2,1,http://www.familytreecenter.org/,1,1,1,0,1,1,2415 North Monroe Street,Tallahassee,Florida,32303,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,
070,The Frederick Center,1,1,1,1,2,1,http://www.thefrederickcenter.org/,1,1,0,0,0,0,9999,Frederick,Maryland,9999,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,
071,The Gay and Lesbian Services Center of Orange County,1,1,1,1,2,1,http://www.lgbtcenteroc.org/,1,1,1,0,1,1,1605 North Spurgeon Street,Santa Ana,California,92701,1,1,1,0,0,0,0,0,0,0,1,1,1,,,,,,
072,The GLBT Community Center of Central Florida / The Center Orlando,1,1,1,1,2,1,http://www.thecenterorlando.org/,1,1,1,0,1,1,946 North Mills Avenue,Orlando,Florida,32803,0,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,
073,The GLBT Community Center of Colorado,1,1,1,1,2,1,http://www.glbtcolorado.org/,1,1,1,0,1,1,1301 East Colfax Avenue,Denver,Colorado,80218,0,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,
